da,y
2/25/2017,1826
2/26/2017,2494
2/27/2017,3812
2/28/2017,3678
3/1/2017,3558
3/2/2017,3441
3/3/2017,2699
3/4/2017,1754
3/5/2017,2394
3/6/2017,3481
3/7/2017,3662
3/8/2017,3613
3/9/2017,3444
3/10/2017,2733
3/11/2017,1714
3/12/2017,2189
3/13/2017,3367
3/14/2017,3465
3/15/2017,3441
3/16/2017,3304
3/17/2017,2433
3/18/2017,1649
3/19/2017,2267
3/20/2017,3463
3/21/2017,3481
3/22/2017,3430
3/23/2017,3260
3/24/2017,2566
3/25/2017,1760
3/26/2017,2336
3/27/2017,3479
3/28/2017,3633
3/29/2017,3530
3/30/2017,3390
3/31/2017,2636
4/1/2017,1678
4/2/2017,2159
4/3/2017,3356
4/4/2017,3486
4/5/2017,3484
4/6/2017,3514
4/7/2017,2725
4/8/2017,1664
4/9/2017,2433
4/10/2017,3440
4/11/2017,3532
4/12/2017,3517
4/13/2017,3017
4/14/2017,2238
4/15/2017,1701
4/16/2017,2143
4/17/2017,3402
4/18/2017,3702
4/19/2017,3852
4/20/2017,3669
4/21/2017,2802
4/22/2017,2049
4/23/2017,2827
4/24/2017,4083
4/25/2017,4108
4/26/2017,3940
4/27/2017,3695
4/28/2017,2887
4/29/2017,1987
4/30/2017,2616
5/1/2017,3551
5/2/2017,3802
5/3/2017,3766
5/4/2017,3755
5/5/2017,2925
5/6/2017,1981
5/7/2017,2534
5/8/2017,3585
5/9/2017,3458
5/10/2017,3475
5/11/2017,3224
5/12/2017,2620
5/13/2017,1749
5/14/2017,2126
5/15/2017,3191
5/16/2017,3226
5/17/2017,3318
5/18/2017,3307
5/19/2017,2470
5/20/2017,1651
5/21/2017,1971
5/22/2017,3041
5/23/2017,3077
5/24/2017,2996
5/25/2017,2839
5/26/2017,2183
5/27/2017,1444
5/28/2017,1781
5/29/2017,2457
5/30/2017,2909
5/31/2017,2667
6/1/2017,2639
6/2/2017,2171
6/3/2017,1471
6/4/2017,1795
6/5/2017,2610
6/6/2017,2922
6/7/2017,2913
6/8/2017,2796
6/9/2017,2101
6/10/2017,1244
6/11/2017,1622
6/12/2017,2598
6/13/2017,2809
6/14/2017,2797
6/15/2017,2624
6/16/2017,2105
6/17/2017,1187
6/18/2017,1465
6/19/2017,2493
6/20/2017,2472
6/21/2017,2475
6/22/2017,2351
6/23/2017,1850
6/24/2017,925
6/25/2017,1071
6/26/2017,1998
6/27/2017,2190
6/28/2017,2145
6/29/2017,1976
6/30/2017,1478
7/1/2017,903
7/2/2017,1142
7/3/2017,1726
7/4/2017,1566
7/5/2017,2149
7/6/2017,2047
7/7/2017,1693
7/8/2017,891
7/9/2017,1172
7/10/2017,2062
7/11/2017,2140
7/12/2017,2192
7/13/2017,2043
7/14/2017,1710
7/15/2017,892
7/16/2017,1122
7/17/2017,1954
7/18/2017,2109
7/19/2017,2032
7/20/2017,2031
7/21/2017,1609
7/22/2017,923
7/23/2017,1170
7/24/2017,2214
7/25/2017,2148
7/26/2017,1925
7/27/2017,1908
7/28/2017,1538
7/29/2017,895
7/30/2017,1112
7/31/2017,1978
8/1/2017,1957
8/2/2017,1994
8/3/2017,1894
8/4/2017,1478
8/5/2017,901
8/6/2017,1045
8/7/2017,1823
8/8/2017,1868
8/9/2017,1961
8/10/2017,1864
8/11/2017,1498
8/12/2017,888
8/13/2017,1076
8/14/2017,1704
8/15/2017,1846
8/16/2017,1911
8/17/2017,1824
8/18/2017,1521
8/19/2017,951
8/20/2017,1419
8/21/2017,2069
8/22/2017,2259
8/23/2017,2147
8/24/2017,2026
8/25/2017,1589
8/26/2017,934
8/27/2017,1211
8/28/2017,1287
8/29/2017,2310
8/30/2017,2179
8/31/2017,1963
9/1/2017,1583
9/2/2017,908
9/3/2017,1197
9/4/2017,1704
9/5/2017,2289
9/6/2017,2320
9/7/2017,2243
9/8/2017,1848
9/9/2017,1108
9/10/2017,1657
9/11/2017,2496
9/12/2017,2540
9/13/2017,2473
9/14/2017,2415
9/15/2017,1867
9/16/2017,1090
9/17/2017,1715
9/18/2017,2596
9/19/2017,2840
9/20/2017,2660
9/21/2017,2667
9/22/2017,1944
9/23/2017,1178
9/24/2017,1809
9/25/2017,2705
9/26/2017,2780
9/27/2017,2657
9/28/2017,2507
9/29/2017,1902
9/30/2017,1289
10/1/2017,1812
10/2/2017,2669
10/3/2017,2787
10/4/2017,2731
10/5/2017,2695
10/6/2017,2078
10/7/2017,1354
10/8/2017,1884
10/9/2017,2869
10/10/2017,2785
10/11/2017,2924
10/12/2017,2768
10/13/2017,2114
10/14/2017,1559
10/15/2017,2066
10/16/2017,2880
10/17/2017,2930
10/18/2017,2896
10/19/2017,2582
10/20/2017,2220
10/21/2017,1434
10/22/2017,2142
10/23/2017,3177
10/24/2017,2938
10/25/2017,2477
10/26/2017,3087
10/27/2017,2478
10/28/2017,1567
10/29/2017,1637
10/30/2017,2999
10/31/2017,3143
11/1/2017,3147
11/2/2017,3103
11/3/2017,2397
11/4/2017,1634
11/5/2017,2299
11/6/2017,3113
11/7/2017,3341
11/8/2017,3227
11/9/2017,3005
11/10/2017,2319
11/11/2017,1613
11/12/2017,2309
11/13/2017,3433
11/14/2017,3373
11/15/2017,3345
11/16/2017,3332
11/17/2017,2508
11/18/2017,1741
11/19/2017,2231
11/20/2017,3135
11/21/2017,3026
11/22/2017,2625
11/23/2017,2237
11/24/2017,1843
11/25/2017,1652
11/26/2017,2354
11/27/2017,3251
11/28/2017,3660
11/29/2017,3484
11/30/2017,3134
12/1/2017,2603
12/2/2017,1827
12/3/2017,2504
12/4/2017,3673
12/5/2017,3435
12/6/2017,3452
12/7/2017,3199
12/8/2017,2549
12/9/2017,1944
12/10/2017,2607
12/11/2017,3350
12/12/2017,3011
12/13/2017,3205
12/14/2017,2930
12/15/2017,2803
12/16/2017,1761
12/17/2017,2300
12/18/2017,3109
12/19/2017,3021
12/20/2017,2661
12/21/2017,2243
12/22/2017,1544
12/23/2017,958
12/24/2017,895
12/25/2017,1015
12/26/2017,1438
12/27/2017,1740
12/28/2017,1797
12/29/2017,1410
12/30/2017,1071
12/31/2017,923
1/1/2018,1120
1/2/2018,2208
1/3/2018,2282
1/4/2018,2310
1/5/2018,2272
1/6/2018,1498
1/7/2018,1869
1/8/2018,2784
1/9/2018,2844
1/10/2018,2866
1/11/2018,2704
1/12/2018,2127
1/13/2018,1373
1/14/2018,1711
1/15/2018,2612
1/16/2018,2631
1/17/2018,2812
1/18/2018,2677
1/19/2018,2198
